order_id,order_time,delivery_time,status,cancellation_reason,order_value,delivery_fee,estimated_delivery_time_min,time_to_assign_courier_min,actual_preparation_time_min,travel_time_min,delivery_distance_km,promotion_used,platform,city_region,user_id,user_segment
257,2022-11-01 00:01:46,2022-11-01 00:25:04,delivered,,25.73,2.09,27.0,3.2,15.1,5.0,3.48,no,Android,Belem,5737,returning
165,2022-11-01 00:06:07,2022-11-01 00:31:01,delivered,,22.0,0.77,13.0,4.0,15.9,5.0,1.29,no,iOS,Parque das Nacoes,4095,new
343,2022-11-01 00:06:09,2022-11-01 00:39:15,delivered,,29.9,3.53,44.0,2.6,15.4,15.1,5.88,no,iOS,Parque das Nacoes,15991,returning
904,2022-11-01 00:06:48,2022-11-01 00:42:24,delivered,,40.49,2.02,27.0,5.7,16.0,13.9,3.36,no,Android,Alfama,1773,returning
555,2022-11-01 00:09:58,2022-11-01 01:01:16,delivered,,35.75,3.48,39.0,3.9,12.3,35.1,5.8,no,iOS,Baixa,5203,returning
524,2022-11-01 00:10:28,2022-11-01 00:41:40,delivered,,33.92,1.48,20.0,1.4,12.9,16.9,2.47,no,Android,Baixa,6727,returning
111,2022-11-01 00:10:34,2022-11-01 00:42:46,delivered,,18.03,2.06,28.0,6.4,15.1,10.7,3.44,no,iOS,Baixa,12994,returning
505,2022-11-01 00:10:49,2022-11-01 00:53:31,delivered,,28.79,2.72,33.0,3.3,20.4,19.0,4.53,no,iOS,Alfama,11874,returning
83,2022-11-01 00:12:34,2022-11-01 00:41:22,delivered,,20.39,0.71,9.0,2.2,18.1,8.5,1.18,no,Android,Baixa,13707,returning
38,2022-11-01 00:14:52,2022-11-01 01:01:22,delivered,,12.12,2.13,38.0,4.1,24.0,18.4,3.55,no,iOS,Belem,4788,returning
981,2022-11-01 00:14:53,2022-11-01 00:56:17,delivered,,25.53,2.29,29.0,2.4,14.4,24.6,3.82,no,Android,Belem,10381,returning
639,2022-11-01 00:23:03,2022-11-01 00:53:45,delivered,,11.01,1.69,27.0,3.4,19.1,8.2,2.82,no,iOS,Baixa,9233,new
992,2022-11-01 00:25:08,,cancelled,Cancelled by user,26.37,4.65,56.0,4.8,16.6,34.6,7.75,no,Android,Baixa,17100,returning
503,2022-11-01 00:25:16,2022-11-01 00:45:46,delivered,,24.77,1.55,22.0,2.1,9.0,9.4,2.59,no,Android,Parque das Nacoes,9185,returning
126,2022-11-01 00:25:35,2022-11-01 00:57:47,delivered,,13.36,1.9,27.0,4.4,14.7,13.1,3.16,no,iOS,Belem,3274,returning
657,2022-11-01 00:26:19,2022-11-01 00:49:31,delivered,,25.22,1.03,22.0,4.7,13.5,5.0,1.72,no,Android,Belem,4361,new
125,2022-11-01 00:26:44,2022-11-01 01:07:50,delivered,,18.41,3.4,40.0,5.7,15.5,19.9,5.67,no,iOS,Baixa,16871,returning
